MARY 1 6 2 4216 2 0
PATRICIA 7 2 2 1699 3 0
LINDA 4 6 3 4046 1 0
BARBARA 9 4 3 3793 1 0
ELIZABETH 10 6 2 4262 1 0
JENNIFER 9 4 2 3196 2 0
MARIA 2 7 3 3039 3 0
SUSAN 6 10 3 2310 3 0
MARGARET 4 6 1 3044 2 0
DOROTHY 1 7 2 1482 1 0
LISA 8 2 3 4739 1 0
NANCY 1 8 1 4320 3 0
KAREN 4 1 3 4695 1 0
BETTY 3 8 2 1877 2 0
HELEN 10 8 3 3404 2 0
SANDRA 7 8 1 1272 3 0
DONNA 10 1 3 3433 2 0
CAROL 9 6 2 2095 2 0
RUTH 2 6 2 4110 3 0
SHARON 2 8 1 3755 2 0
MICHELLE 10 10 2 3738 2 0
LAURA 1 2 2 1049 2 0
SARAH 3 2 2 1658 3 0
KIMBERLY 6 9 2 2206 1 0
DEBORAH 4 3 2 3222 3 0
JESSICA 1 9 3 1028 3 0
SHIRLEY 6 4 2 4684 3 0
CYNTHIA 6 10 3 3521 2 0
ANGELA 5 2 1 2150 1 0
MELISSA 8 10 2 3610 2 0
BRENDA 7 10 1 2211 2 0
AMY 4 9 2 1463 1 0
ANNA 9 6 3 1066 1 0
REBECCA 8 5 3 2621 2 0
VIRGINIA 2 2 1 2256 3 0
KATHLEEN 10 5 2 4691 2 0
PAMELA 2 2 1 4295 1 0
MARTHA 5 8 3 3856 1 0
DEBRA 8 10 2 4050 3 0
AMANDA 5 8 2 4038 1 0
STEPHANIE 6 8 2 2173 2 0
CAROLYN 2 2 3 3220 2 0
CHRISTINE 6 9 1 1473 1 0
MARIE 8 3 1 4376 3 0
JANET 6 5 3 1948 3 0
CATHERINE 4 1 2 2677 2 0
FRANCES 5 8 1 4648 1 0
ANN 9 7 2 3925 3 0
JOYCE 6 1 3 1719 1 0
DIANE 5 3 2 2886 2 0
ALICE 8 7 2 3609 2 0
JULIE 4 8 3 4362 3 0
HEATHER 7 3 1 1817 2 0
TERESA 1 5 3 1322 1 0
DORIS 2 4 2 4667 2 0
GLORIA 4 5 2 1646 3 0
EVELYN 6 1 2 1239 1 0
JEAN 4 10 2 1044 1 0
CHERYL 2 9 1 4646 3 0
MILDRED 7 8 2 4614 1 0
KATHERINE 10 9 1 3077 2 0
JOAN 7 10 1 3088 1 0
ASHLEY 10 7 3 4818 1 0
JUDITH 8 2 1 2500 1 0
ROSE 4 7 2 1933 1 0
JANICE 9 7 3 4387 2 0
KELLY 8 5 1 3244 3 0
NICOLE 1 7 1 2415 2 0
JUDY 5 7 3 4477 3 0
CHRISTINA 2 8 2 3439 1 0
KATHY 2 1 1 2763 3 0
THERESA 3 1 1 3048 1 0
BEVERLY 10 5 1 3552 1 0
DENISE 9 9 3 2876 3 0
TAMMY 8 7 1 1473 2 0
IRENE 10 9 3 3595 3 0
JANE 4 9 3 2672 1 0
LORI 3 10 1 3731 3 0
RACHEL 4 8 2 3093 3 0
MARILYN 3 9 1 2485 2 0
ANDREA 5 10 2 4362 3 0
KATHRYN 1 5 1 2444 1 0
LOUISE 3 4 3 1744 3 0
SARA 2 1 1 2021 1 0
ANNE 3 3 3 3681 3 0
JACQUELINE 8 5 3 3978 3 0
WANDA 3 8 1 4566 2 0
BONNIE 3 6 3 1157 3 0
JULIA 7 9 3 4215 3 0
RUBY 9 6 2 1348 1 0
LOIS 3 4 2 4663 1 0
TINA 7 3 3 4554 1 0
PHYLLIS 5 3 3 2953 3 0
NORMA 8 9 3 3239 3 0
PAULA 9 2 2 3366 2 0
DIANA 10 9 3 4121 3 0
ANNIE 8 4 1 1481 2 0
LILLIAN 8 1 3 2298 3 0
EMILY 8 7 3 4297 3 0
ROBIN 8 6 1 1964 1 0
PEGGY 9 10 2 2546 3 0
CRYSTAL 10 6 2 2883 3 0
GLADYS 2 7 2 2834 3 0
RITA 7 2 2 4021 1 0
DAWN 3 2 3 3543 1 0
CONNIE 10 5 1 1607 3 0
FLORENCE 4 4 1 4077 2 0
TRACY 2 2 3 2850 1 0
EDNA 6 9 2 2012 2 0
TIFFANY 10 3 3 4086 2 0
CARMEN 2 9 3 2458 2 0
ROSA 8 6 3 4833 1 0
CINDY 10 2 2 1609 3 0
GRACE 6 5 2 4136 1 0
WENDY 3 10 3 1789 1 0
VICTORIA 3 5 2 3973 2 0
EDITH 1 8 2 3612 3 0
KIM 1 4 2 4834 2 0
SHERRY 4 5 2 1491 2 0
SYLVIA 7 1 3 1545 2 0
JOSEPHINE 10 9 1 2013 1 0
THELMA 3 1 3 3709 3 0
SHANNON 3 3 3 2440 2 0
SHEILA 10 6 3 2836 2 0
ETHEL 8 9 2 4920 1 0
ELLEN 8 7 3 2377 2 0
ELAINE 3 1 2 4134 1 0
MARJORIE 2 10 2 3486 2 0
CARRIE 7 10 2 4614 2 0
CHARLOTTE 7 8 2 4717 2 0
MONICA 6 4 2 3440 1 0
ESTHER 6 9 3 4050 1 0
PAULINE 8 6 2 2860 2 0
EMMA 7 10 1 1649 1 0
JUANITA 6 4 3 4112 1 0
ANITA 1 7 1 1427 1 0
RHONDA 7 1 2 3048 2 0
HAZEL 5 6 2 1952 2 0
AMBER 2 5 2 1356 3 0
EVA 1 10 3 2723 1 0
DEBBIE 3 10 3 4040 1 0
APRIL 10 10 2 1319 3 0
